"","transect","lat","lon","tidal","star_dens","barn_dens","mussel_dens","star_percent","barn_percent","mussel_percent","algae_percent"
"1",1,48.833989,-125.147339,"high",0.888888888888889,286.777777777778,0,0.666666666666667,34.7777777777778,0,24.1111111111111
"2",5,48.834565,-125.147165,"high",1.2,1301.06666666667,62.3333333333333,1.53333333333333,21.5333333333333,8,39.3333333333333
"3",2,48.834344,-125.147074,"high",0,2688.20923076923,91.2030769230769,0,36.5384615384615,28.3846153846154,83.6923076923077
"4",4,48.83435,-125.14705,"high",0.166666666666667,7133.66666666667,84,0.166666666666667,17.6666666666667,1.58333333333333,21.6666666666667
"5",3,48.834553,-125.146991,"high",0.7,2158.4,156.8,0.95,28.1,5.85,22.25
"6",6,48.83413,-125.14674,"high",0.333333333333333,5210,0,0.208333333333333,31,0,40.8333333333333
"7",1,48.833993,-125.147521,"low",1.125,75.8,0,0.75,17.75625,0,51.5
"8",2,48.834188,-125.147396,"low",0.76,377.341818181818,181.290909090909,0.454545454545455,39.1818181818182,28.5454545454545,67.9090909090909
"9",3,48.834388,-125.147365,"low",1.625,3092,91,2.125,25.875,5.6875,22.125
"10",4,48.83447,-125.14728,"low",0,4968,560,0,23.2,10.6,33.4
"11",5,48.834451,-125.146814,"low",0.466666666666667,2323.6,840.6,0.533333333333333,29.3333333333333,22.6666666666667,38.8666666666667
"12",6,48.83412,-125.14658,"low",0,0,0,0,0,0,37
